Sveitarfélagsnúmer,Sveitarfélag,Landssvæði,Fjöldi - 1 des 2018,Fjöldi - 1 des 2019,Fjöldi - 1 feb 2020,Fjölgun m/ 1 des 2019 og 1 feb 2020,%
0000,Reykjavíkurborg,Höfuðborgarsvæðið,"128,681","131,146","131,588",442,0.3%
1000,Kópavogsbær,Höfuðborgarsvæðið,"36,910","37,936","38,067",131,0.3%
1100,Seltjarnarnesbær,Höfuðborgarsvæðið,"4,659","4,719","4,703",-16,-0.3%
1300,Garðabær,Höfuðborgarsvæðið,"16,279","16,924","16,978",54,0.3%
1400,Hafnarfjarðarkaupstaður,Höfuðborgarsvæðið,"29,787","29,986","29,971",-15,-0.1%
1604,Mosfellsbær,Höfuðborgarsvæðið,"11,407","12,069","12,105",36,0.3%
1606,Kjósarhreppur,Höfuðborgarsvæðið,239,247,244,-3,-1.2%
2000,Reykjanesbær,Suðurnes ,"18,882","19,423","19,492",69,0.4%
2300,Grindavíkurbær,Suðurnes ,"3,397","3,508","3,516",8,0.2%
2506,Sveitarfélagið Vogar,Suðurnes ,"1,288","1,308","1,322",14,1.1%
2510,Suðurnesjabær,Suðurnes ,"3,482","3,586","3,607",21,0.6%
3000,Akraneskaupstaður,Vesturland,"7,421","7,533","7,527",-6,-0.1%
3506,Skorradalshreppur,Vesturland,58,65,67,2,3.1%
3511,Hvalfjarðarsveit,Vesturland,650,625,618,-7,-1.1%
3609,Borgarbyggð,Vesturland,"3,816","3,855","3,867",12,0.3%
3709,Grundarfjarðarbær,Vesturland,876,877,871,-6,-0.7%
3710,Helgafellssveit,Vesturland,63,65,64,-1,-1.5%
3711,Stykkishólmsbær,Vesturland,"1,196","1,211","1,212",1,0.1%
3713,Eyja- og Miklaholtshreppur,Vesturland,117,124,126,2,1.6%
3714,Snæfellsbær,Vesturland,"1,680","1,677","1,689",12,0.7%
3811,Dalabyggð,Vesturland,670,634,633,-1,-0.2%
4100,Bolungarvíkurkaupstaður,Vestfirðir ,946,959,961,2,0.2%
4200,Ísafjarðarbær,Vestfirðir ,"3,813","3,810","3,827",17,0.4%
4502,Reykhólahreppur,Vestfirðir ,257,262,262,0,0.0%
4604,Tálknafjarðarhreppur,Vestfirðir ,259,252,247,-5,-2.0%
4607,Vesturbyggð,Vestfirðir ,996,"1,020","1,021",1,0.1%
4803,Súðavíkurhreppur,Vestfirðir ,199,209,203,-6,-2.9%
4901,Árneshreppur,Vestfirðir ,40,43,43,0,0.0%
4902,Kaldrananeshreppur,Vestfirðir ,103,109,106,-3,-2.8%
4911,Strandabyggð,Vestfirðir ,451,454,456,2,0.4%
5200,Sveitarfélagið Skagafjörður,Norðurland vestra,"3,990","4,037","4,026",-11,-0.3%
5508,Húnaþing vestra,Norðurland vestra,"1,181","1,210","1,208",-2,-0.2%
5604,Blönduósbær,Norðurland vestra,935,942,932,-10,-1.1%
5609,Sveitarfélagið Skagaströnd,Norðurland vestra,459,473,474,1,0.2%
5611,Skagabyggð,Norðurland vestra,88,90,90,0,0.0%
5612,Húnavatnshreppur,Norðurland vestra,374,370,373,3,0.8%
5706,Akrahreppur,Norðurland vestra,200,205,204,-1,-0.5%
6000,Akureyrarbær,Norðurland eystra,"18,900","19,024","19,009",-15,-0.1%
6100,Norðurþing,Norðurland eystra,"3,050","3,111","3,122",11,0.4%
6250,Fjallabyggð,Norðurland eystra,"2,004","2,007","2,011",4,0.2%
6400,Dalvíkurbyggð,Norðurland eystra,"1,908","1,902","1,898",-4,-0.2%
6513,Eyjafjarðarsveit,Norðurland eystra,"1,041","1,079","1,077",-2,-0.2%
6515,Hörgársveit,Norðurland eystra,613,621,624,3,0.5%
6601,Svalbarðsstrandarhreppur,Norðurland eystra,489,482,481,-1,-0.2%
6602,Grýtubakkahreppur,Norðurland eystra,371,370,376,6,1.6%
6607,Skútustaðahreppur,Norðurland eystra,509,507,490,-17,-3.4%
6611,Tjörneshreppur,Norðurland eystra,55,54,54,0,0.0%
6612,Þingeyjarsveit,Norðurland eystra,903,864,859,-5,-0.6%
6706,Svalbarðshreppur,Norðurland eystra,89,93,93,0,0.0%
6709,Langanesbyggð,Norðurland eystra,509,482,476,-6,-1.2%
7000,Seyðisfjarðarkaupstaður,Austurland,692,682,680,-2,-0.3%
7300,Fjarðabyggð,Austurland,"5,081","5,073","5,080",7,0.1%
7502,Vopnafjarðarhreppur,Austurland,657,656,661,5,0.8%
7505,Fljótsdalshreppur,Austurland,73,86,86,0,0.0%
7509,Borgarfjarðarhreppur,Austurland,109,122,121,-1,-0.8%
7617,Djúpavogshreppur,Austurland,474,501,503,2,0.4%
7620,Fljótsdalshérað,Austurland,"3,605","3,620","3,610",-10,-0.3%
7708,Sveitarfélagið Hornafjörður,Suðurland,"2,381","2,435","2,434",-1,0.0%
8000,Vestmannaeyjabær,Suðurland,"4,304","4,358","4,361",3,0.1%
8200,Sveitarfélagið Árborg,Suðurland,"9,447","10,055","10,071",16,0.2%
8508,Mýrdalshreppur,Suðurland,694,717,718,1,0.1%
8509,Skaftárhreppur,Suðurland,585,626,624,-2,-0.3%
8610,Ásahreppur,Suðurland,249,251,259,8,3.2%
8613,Rangárþing eystra,Suðurland,"1,920","1,960","1,956",-4,-0.2%
8614,Rangárþing ytra,Suðurland,"1,630","1,684","1,687",3,0.2%
8710,Hrunamannahreppur,Suðurland,791,817,818,1,0.1%
8716,Hveragerðisbær,Suðurland,"2,625","2,697","2,718",21,0.8%
8717,Sveitarfélagið Ölfus,Suðurland,"2,157","2,273","2,272",-1,0.0%
8719,Grímsnes- og Grafningshreppur,Suðurland,489,494,502,8,1.6%
8720,Skeiða- og Gnúpverjahreppur,Suðurland,639,611,609,-2,-0.3%
8721,Bláskógabyggð,Suðurland,"1,115","1,162","1,164",2,0.2%
8722,Flóahreppur,Suðurland,664,689,685,-4,-0.6%
